split_id,repeat_id,fold,strategy,model,calibration,best_inner_deviance,alpha,lambda,roc_auc,pr_auc,log_loss,brier,n_test,n_pos_test
83,9,3,lasso_raw,lasso,raw,0.21754708096505704,1,0.012439747221181838,0.9960317460317462,0.9939182194616977,0.13043210599395655,0.03850186900611807,57,21
83,9,3,lasso_sigmoid,lasso,sigmoid,0.21754708096505704,1,0.012439747221181838,0.9960317460317462,0.9939182194616977,0.09534950986939025,0.029983068869726084,57,21
83,9,3,lasso_isotonic,lasso,isotonic,0.21754708096505704,1,0.012439747221181838,0.9947089947089948,0.9918614718614719,0.10477864007562558,0.03449809540828243,57,21
83,9,3,enet_raw,enet,raw,0.17934628734254876,0.7,0.0076926708739303564,0.9933862433862436,0.9906593406593407,0.11502218188960982,0.03417860873512175,57,21
83,9,3,enet_sigmoid,enet,sigmoid,0.17934628734254876,0.7,0.0076926708739303564,0.9933862433862436,0.9906593406593407,0.09246197240984572,0.028641790897198816,57,21
83,9,3,enet_isotonic,enet,isotonic,0.17934628734254876,0.7,0.0076926708739303564,0.996031746031746,0.9947089947089947,0.07854906276707631,0.024029010773325667,57,21
84,9,4,ridge_raw,ridge,raw,0.22955069572836112,0,0.051091346021864076,0.9973544973544973,0.9954596990311276,0.1333967627607301,0.032877359851967485,57,21
84,9,4,ridge_sigmoid,ridge,sigmoid,0.22955069572836112,0,0.051091346021864076,0.9973544973544973,0.9954596990311276,0.07257710345688576,0.01936366310454235,57,21
84,9,4,ridge_isotonic,ridge,isotonic,0.22955069572836112,0,0.051091346021864076,0.9973544973544973,0.9956709956709957,0.07381812369781293,0.018423938995513946,57,21
84,9,4,lasso_raw,lasso,raw,0.19066962041050572,1,0.007765430306161443,0.9973544973544973,0.9954596990311276,0.1031284809112948,0.02709738334670549,57,21
84,9,4,lasso_sigmoid,lasso,sigmoid,0.19066962041050572,1,0.007765430306161443,0.9973544973544973,0.9954596990311276,0.08007336047646987,0.022907071600002122,57,21
84,9,4,lasso_isotonic,lasso,isotonic,0.19066962041050572,1,0.007765430306161443,0.9973544973544973,0.9954545454545455,0.07415917537939389,0.023365055733022003,57,21
84,9,4,enet_raw,enet,raw,0.18092378774969647,0.5,0.008097803595241941,0.9973544973544973,0.9954596990311276,0.09316455490932188,0.02283707080519217,57,21
84,9,4,enet_sigmoid,enet,sigmoid,0.18092378774969647,0.5,0.008097803595241941,0.9973544973544973,0.9954596990311276,0.06510942545317976,0.016375963614963577,57,21
84,9,4,enet_isotonic,enet,isotonic,0.18092378774969647,0.5,0.008097803595241941,0.9973544973544973,0.9954596990311276,0.06119895653487778,0.016240653743027328,57,21
85,9,5,ridge_raw,ridge,raw,0.24900917616205284,0,0.055151764194686266,1,1,0.07486771637357328,0.013685248741524096,57,21
85,9,5,ridge_sigmoid,ridge,sigmoid,0.24900917616205284,0,0.055151764194686266,1,1,0.0212794171997056,0.0036449290750183642,57,21
85,9,5,ridge_isotonic,ridge,isotonic,0.24900917616205284,0,0.055151764194686266,1,1,0.014059083767478414,0.0011179310716779383,57,21
85,9,5,lasso_raw,lasso,raw,0.20017426104882624,1,0.007637892659154949,1,1,0.06358765402191414,0.015314803902257207,57,21
85,9,5,lasso_sigmoid,lasso,sigmoid,0.20017426104882624,1,0.007637892659154949,1,1,0.04400068299642614,0.012067416188109682,57,21
85,9,5,lasso_isotonic,lasso,isotonic,0.20017426104882624,1,0.007637892659154949,1,1,0.04487502174083708,0.012876074714325563,57,21
85,9,5,enet_raw,enet,raw,0.17846029239589306,0.3,0.008336885004395268,1,1,0.049267682911594134,0.010434656542573471,57,21
85,9,5,enet_sigmoid,enet,sigmoid,0.17846029239589306,0.3,0.008336885004395268,1,1,0.02593738805204051,0.005666564840987519,57,21
85,9,5,enet_isotonic,enet,isotonic,0.17846029239589306,0.3,0.008336885004395268,1,1,0.014963412299836356,0.001883912188234643,57,21
86,9,6,ridge_raw,ridge,raw,0.24522595632638217,0,0.055676332854932085,1,1,0.08538254592804698,0.018109865448376335,57,21
86,9,6,ridge_sigmoid,ridge,sigmoid,0.24522595632638217,0,0.055676332854932085,1,1,0.027283937984974225,0.006171757350161095,57,21
86,9,6,ridge_isotonic,ridge,isotonic,0.24522595632638217,0,0.055676332854932085,1,1,0.01812313643709866,0.0029791426404464113,57,21
86,9,6,lasso_raw,lasso,raw,0.20201362813796556,1,0.007025556383687078,1,1,0.0559140712053443,0.013265601770228307,57,21
86,9,6,lasso_sigmoid,lasso,sigmoid,0.20201362813796556,1,0.007025556383687078,1,1,0.03596183303296908,0.009975786433047336,57,21
86,9,6,lasso_isotonic,lasso,isotonic,0.20201362813796556,1,0.007025556383687078,0.9986772486772487,0.9978354978354979,0.045875068838487056,0.014588893543644208,57,21
86,9,6,enet_raw,enet,raw,0.18104628691668334,0.3,0.00923674735315316,1,1,0.05411773808514367,0.012353166873805988,57,21
86,9,6,enet_sigmoid,enet,sigmoid,0.18104628691668334,0.3,0.00923674735315316,1,1,0.032007239202980146,0.00906119314874024,57,21
